,BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,MealPlan,Parking,RoomType,NumAdults,NumChildren,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus
0,29020,211,2018,5,20,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,100.0,0,Not_Canceled
1,29021,121,2018,7,6,0,4,Meal Plan 1,0,Room_Type 1,3,0,Offline,0,0,0,96.9,1,Canceled
2,29022,30,2018,11,26,2,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,88.0,0,Not_Canceled
3,29023,256,2018,6,15,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,Not_Canceled
4,29024,122,2018,11,25,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,67.0,0,Canceled
5,29025,37,2017,11,6,1,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,37.33,0,Canceled
6,29026,56,2018,12,7,0,3,Meal Plan 1,0,Room_Type 2,0,2,Online,0,0,0,82.44,1,Canceled
7,29027,34,2018,6,19,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,81.0,0,Not_Canceled
8,29028,35,2018,6,21,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,102.0,1,Canceled
9,29029,96,2018,4,10,2,1,Meal Plan 1,0,Room_Type 1,3,0,Online,0,0,0,121.8,1,Canceled
10,29030,57,2018,11,1,0,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,79.2,1,Canceled
11,29031,169,2018,4,22,2,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,106.0,0,Not_Canceled
12,29032,2,2017,9,10,0,1,Meal Plan 1,0,Room_Type 1,1,0,Complementary,0,0,0,0.0,1,Canceled
13,29033,30,2018,10,5,0,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,157.5,2,Canceled
14,29034,267,2018,12,31,1,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,121.5,0,Canceled
